,OverallAccuracy,Frequency_Weighted_Intersection_over_Union,MeanIntersectionOverUnion,MatthewsCorrelationCoefficient
0,0.580352783203125,0.40434636079127434,0.40859586799026654,0.39835432
1,0.9382095336914062,0.8815473799337106,0.6504342486035155,0.5721091
2,0.10074996948242188,0.04322462161303725,0.052916439592256406,-0.006919281
3,0.5701713562011719,0.5641478213468083,0.28568143120216505,-0.07347709
4,0.9114227294921875,0.8490176140912808,0.45571136474609375,-0.038836405
5,0.8800048828125,0.8536964482627809,0.44000244140625,-0.05524075
6,0.7834739685058594,0.6503610154795503,0.5106271669569827,0.29638916
7,0.802093505859375,0.7465565649226181,0.518396326064324,0.39740574
8,0.6370162963867188,0.5446256404417348,0.4078186646116824,0.2578698
9,0.6089248657226562,0.5698368604155452,0.3112072571136602,-0.12964751
10,0.8785781860351562,0.8364147894296519,0.5072254912978471,0.19737619
11,0.8090400695800781,0.7295984095094811,0.5037025027632175,0.24451515
12,0.9764556884765625,0.9702469897480026,0.6026839998309823,0.44630855
13,0.7899894714355469,0.7752862601046218,0.39499473571777344,-0.067000374
14,0.4332695007324219,0.38820270027135295,0.21840722312352898,-0.2977283
15,0.7616310119628906,0.6143417363020351,0.6079607086420273,0.51292485
16,0.8179092407226562,0.7140515483258703,0.6563815928185065,0.617323
17,0.8956413269042969,0.8246861006753894,0.7724314466443375,0.76596445
18,0.4857940673828125,0.30774897214748376,0.3186448076644782,0.11696458
19,0.7306060791015625,0.6318150969204502,0.46750562883895047,0.22715497
20,0.898590087890625,0.829944271894481,0.7298245894690025,0.67462385
21,0.8527336120605469,0.7704326627082861,0.595690150174959,0.43522078
22,0.21833038330078125,0.17599313286989632,0.11793229901137943,0.09920409
23,0.06674957275390625,0.024251020068671504,0.03439607210314654,-0.09023223
24,0.7476959228515625,0.6673241461239168,0.5098852752530074,0.43768233
25,0.25360870361328125,0.1767999438781587,0.14176062388494026,-0.31927782
26,0.9231986999511719,0.8536077209993096,0.5497385989010048,0.38630033
27,0.8004722595214844,0.6833320196471694,0.6515718998158273,0.6286506
28,0.5923194885253906,0.42123015779491346,0.3933249176485715,0.1129637
29,0.4087486267089844,0.3473074242534331,0.22105114279348895,-0.19456685
30,0.855682373046875,0.7472379518567893,0.5436391849548639,0.36018804
31,0.3619728088378906,0.22063683680469182,0.22098003102184832,-0.13245077
32,0.716094970703125,0.5704003435151673,0.4759922033355921,0.24052927
33,0.7525405883789062,0.6056985649395821,0.6020499224223933,0.51730597
34,0.4115409851074219,0.35041442884033563,0.2255329803372978,-0.14162143
35,0.7750282287597656,0.661211321283011,0.5923871038626967,0.51776224
36,0.9449386596679688,0.9068553714008514,0.651051798858708,0.5003492
37,0.7856521606445312,0.7602771591568779,0.42300282499791675,0.11261445
38,0.13927078247070312,0.08585517247873119,0.0746753836743669,0.07349096
39,0.6880683898925781,0.5274428580257177,0.5242718917924527,0.5120552
40,0.42571258544921875,0.28699827712737336,0.26726620190889466,-0.07245276
41,0.9386978149414062,0.8934750053707405,0.7305293581366845,0.6561523
42,0.7176895141601562,0.5650167423642986,0.52214604691624,0.35421768
43,0.7090225219726562,0.5426847771438386,0.5227087091354055,0.38456592
44,0.7333450317382812,0.5985053061368754,0.559448652942991,0.46551588
45,0.7431068420410156,0.7302513522008667,0.3715534210205078,-0.0744771
46,0.871795654296875,0.7749211645059269,0.69437850728144,0.6279569
47,0.5716285705566406,0.42749190298037854,0.39006100070333816,0.22257271
48,0.6824417114257812,0.5167735619705043,0.5074514723443426,0.34609178
49,0.4479637145996094,0.37120433874987024,0.25549743192189917,-0.06490278
50,0.3954658508300781,0.3350186749930186,0.22113397138395172,-0.036854375
51,0.47037506103515625,0.33536054935924675,0.2930354002339715,-0.07415777
52,0.977874755859375,0.9573394755134359,0.4889373779296875,-0.004915898
53,0.12724685668945312,0.023536418883967524,0.06481523766740634,0.013232743
54,0.4999732971191406,0.35090544838615595,0.3313850013427021,0.26902556
55,0.7143974304199219,0.6192406157004537,0.37257182550631673,-0.102001406
56,0.9133415222167969,0.8479055554981652,0.6637390752666424,0.5523987
57,0.7753219604492188,0.6150691565903693,0.47561691830176905,0.2990635
58,0.8556442260742188,0.7807144704879879,0.6593145882446615,0.6092345
59,0.7169914245605469,0.5822180267225554,0.4715530552815332,0.22269738
60,0.8764457702636719,0.7807993731437246,0.6103114245554042,0.48840764
61,0.9568405151367188,0.9198440364600928,0.7488897712905757,0.6911914
62,0.9817390441894531,0.963811550886021,0.49086952209472656,0.0
63,0.6089363098144531,0.5019066678891515,0.3475601268589237,-0.050068907
64,0.6557769775390625,0.5534396291881193,0.4193375393998017,0.19918324
65,0.899658203125,0.8362429271531714,0.547518524867786,0.28207403
66,0.7809524536132812,0.7236096656691526,0.4896247450430948,0.32805708
67,0.9210624694824219,0.8559106084597635,0.7868498979858242,0.75407106
68,0.8203926086425781,0.7543907468911518,0.5834730741258525,0.5420214
69,0.6755599975585938,0.5036083158201037,0.465552940703082,0.26942977
70,0.7783622741699219,0.6713487266762945,0.450241227063658,0.10151669
71,0.6257133483886719,0.5334724476847598,0.36551643789998994,0.028381253
72,0.5911827087402344,0.49888175444919103,0.3579678908386117,0.09408705
73,0.7257041931152344,0.603306222437096,0.5414024140141127,0.48477218
74,0.7808837890625,0.7430385391147072,0.39684587260095017,-0.06804781
75,0.8052635192871094,0.7463380665166838,0.4879813423716308,0.24204212
76,0.9012603759765625,0.8429405336676595,0.5452247280178686,0.26990464
77,0.7212600708007812,0.5977182437301878,0.5289475176719286,0.42616388
78,0.7609291076660156,0.7135082973341741,0.4474889412052064,0.23141247
79,0.8966827392578125,0.8157260228663229,0.7504709205955862,0.7057703
80,0.7191009521484375,0.6535034264298019,0.4381324983469171,0.23705658
81,0.6947860717773438,0.5318744745807489,0.4918226242181317,0.3066284
82,0.8059730529785156,0.7033875437226792,0.4865352454513275,0.18827225
83,0.7933883666992188,0.6990537220493758,0.5536507339456819,0.39882126
84,0.5754737854003906,0.4799829002429868,0.3520846479619415,0.10541314
85,0.5824813842773438,0.4546652830548693,0.382796385515853,0.15831771
86,0.8310813903808594,0.782276116237002,0.49936589861639696,0.2570958
87,0.8900032043457031,0.8118583535979269,0.44500160217285156,-0.046741277
88,0.9093971252441406,0.8407861501836559,0.8122046989663524,0.80457413
89,0.8385543823242188,0.74824304829615,0.42015005015321955,-0.07907146
90,0.7408676147460938,0.7289467636146583,0.3704338073730469,-0.07246203
91,0.8369102478027344,0.803753272034572,0.4203712067107849,-0.06673074
92,0.9796905517578125,0.9664981550304219,0.48984527587890625,-0.009698259
93,0.9683570861816406,0.9483729701283047,0.5531440584790731,0.22931087
94,0.8944435119628906,0.8844874132065276,0.45052276010856296,-0.011569924
95,0.7259941101074219,0.6917363731755449,0.3712212221629506,-0.067802824
96,0.8680419921875,0.8169036605473023,0.5238182319868242,0.25545195
97,0.7271270751953125,0.6181011445266915,0.4594702273561523,0.1884539
98,0.8262405395507812,0.742566744241436,0.5928458057325061,0.47034472
99,0.7472076416015625,0.5894994340053545,0.5936359894046188,0.5711549
100,0.9195709228515625,0.8842820539696018,0.6740169726515103,0.6265275
101,0.8687362670898438,0.837757314206101,0.4343681335449219,-0.06252199
102,0.8123130798339844,0.7333977615198819,0.4061565399169922,-0.10349852
103,0.9180564880371094,0.8471120991031186,0.74642685717127,0.710934
104,0.6123771667480469,0.5983025759026683,0.30860483221242735,-0.08301137
105,0.875,0.8333993762190495,0.5944044239753171,0.5172982
106,0.9897613525390625,0.9797354684008565,0.6699128138712431,0.5828317
107,0.9855804443359375,0.9716495825855508,0.6261178703788953,0.4991195
108,0.3315849304199219,0.18440039533763974,0.1981247591854648,0.1811928
109,0.9014396667480469,0.8194052425828617,0.7343526129435125,0.6933446
110,0.9169349670410156,0.8521181647144174,0.7409286003550373,0.6836345
111,0.6405220031738281,0.5830615600438995,0.36330623198305917,0.08778
112,0.8085517883300781,0.6867438738060225,0.6624473724029188,0.5974745
113,0.6970710754394531,0.5551898464020464,0.5086400697942364,0.35141736
114,0.782196044921875,0.6300109244019526,0.5934008325585931,0.52668023
115,0.7714691162109375,0.6271665022856794,0.6243896168417149,0.5393341
116,0.96173095703125,0.9265354485431028,0.9256891983938622,0.9251389
117,0.7231063842773438,0.6002407491045091,0.5404972503903781,0.49742275
118,0.9005775451660156,0.8463179182610105,0.7160560542397463,0.6948418
119,0.80194091796875,0.6711788983013545,0.6664433615057257,0.6013886
120,0.5119171142578125,0.401076229687725,0.30189542579945794,-0.07990916
121,0.8260879516601562,0.7413064166239733,0.5071067796838102,0.22810815
122,0.5545654296875,0.41457425026239647,0.28830623444359194,-0.23563422
123,0.505035400390625,0.34132218318342805,0.3377404590228499,0.28668106
124,0.4119987487792969,0.2734690672358232,0.25865394406017284,0.19796002
125,0.8711624145507812,0.7668927419954895,0.7621960413230926,0.7600049
126,0.8840827941894531,0.8588356193985223,0.4718726655321599,0.087398596
127,0.7473297119140625,0.6017596919676009,0.5784400447629567,0.45811942
128,0.6693382263183594,0.5103005449293064,0.4894434481360436,0.30761293
129,0.6089019775390625,0.45441582031187183,0.43465980452833647,0.40940806
130,0.5775947570800781,0.4115793254175045,0.4057270627167975,0.34511638
131,0.9382781982421875,0.8819489014853621,0.6497334450862958,0.56819516
132,0.8727493286132812,0.7986207172255224,0.5729604336074242,0.36561283
133,0.9816513061523438,0.9715615487319531,0.6391458668572084,0.45328856
134,0.5816307067871094,0.5104543461419898,0.3557079445684579,0.29449648
135,0.11661148071289062,0.06484021877940828,0.06190395973528588,-0.0061623096
136,0.2570915222167969,0.25490135014960014,0.12855726346767923,-0.15227349
137,0.8797950744628906,0.8111349196115043,0.4398975372314453,-0.06104223
138,0.96142578125,0.9301709346473217,0.480712890625,-0.014319471
139,0.8019218444824219,0.6571031215046731,0.49985250018085686,0.32551053
140,0.8136062622070312,0.7523627187659299,0.5445032979053412,0.43534613
141,0.9226150512695312,0.879111914301194,0.5352789432944745,0.21897799
142,0.9140853881835938,0.8724459092743366,0.5458055066038148,0.26076272
143,0.09592437744140625,0.03498575544734497,0.05006006616101959,0.02061912
144,0.7467803955078125,0.6558597478196031,0.5302065919752471,0.49141395
145,0.2879905700683594,0.2070773684555039,0.16223538730319978,-0.28364187
146,0.8757514953613281,0.7968808374656755,0.484146832469514,0.11957563
147,0.7254104614257812,0.5840618742217318,0.5624704665817978,0.53104883
148,0.6160545349121094,0.4411253040947245,0.3934337374227239,0.107236624
149,0.37920379638671875,0.3110487373310954,0.2126488579009615,-0.11002474
150,0.519989013671875,0.3746649570663279,0.3363876614381782,0.018326465
151,0.75445556640625,0.6065849530168584,0.48560775949563467,0.2626406
152,0.9440956115722656,0.9279755708412267,0.4720478057861328,-0.02649093
153,0.7626953125,0.6189002578168246,0.6149228952358972,0.5347721
154,0.7993659973144531,0.7156082292799145,0.4529820300634644,0.087689206
155,0.836456298828125,0.7303673013203497,0.6586190598095949,0.57050806
156,0.9581184387207031,0.9183185988548722,0.6249397595039051,0.52387047
157,0.8249282836914062,0.79139745907565,0.4731394288880839,0.2263967
158,0.33837890625,0.2841039731131847,0.18935512824622824,0.14872555
159,0.5884208679199219,0.4091234999246788,0.41613505413423535,0.389129
160,0.381195068359375,0.23311653583498393,0.23544458262896711,-0.030066514
161,0.7181205749511719,0.5549728769554809,0.488220603886503,0.3009842
162,0.7821311950683594,0.6413553870882921,0.6301700876879279,0.5467309
163,0.865386962890625,0.8036060774380867,0.5018017397575755,0.17513405
164,0.8079071044921875,0.6924074771483517,0.6516065289172532,0.5899361
165,0.8265609741210938,0.8106025681012528,0.4433288129899796,0.16050571
166,0.8715629577636719,0.7632144987403087,0.6637689170724852,0.62675494
167,0.5659942626953125,0.4241804195327022,0.38424875290133814,0.22533749
168,0.636138916015625,0.4629998045129808,0.45257331458890715,0.24896717
169,0.6463546752929688,0.5553843211985308,0.3517932210194217,-0.07946164
170,0.6793060302734375,0.6153020742830915,0.41516921751983726,0.27004874
171,0.47772979736328125,0.342106336401477,0.29507607380606327,-0.08836901
172,0.15992355346679688,0.04735868330192669,0.08417910827614414,0.040691532
173,0.21955108642578125,0.0524952472411315,0.1112384015454552,-0.025545305
174,0.6642341613769531,0.4988924306971125,0.4967046949491316,0.3368522
175,0.8000335693359375,0.6785977620739079,0.40734197784634674,-0.061393417
176,0.8570594787597656,0.763794795232606,0.49138884852300235,0.1719712
177,0.7900886535644531,0.6400015955771323,0.5039347952843295,0.34192905
178,0.8613166809082031,0.786044067583298,0.6739229553905002,0.62860173
179,0.8015708923339844,0.6854747339592875,0.5571110212500263,0.37938192
180,0.8740158081054688,0.7759460460294524,0.5864580791193759,0.44644323
181,0.9499893188476562,0.9099352637358887,0.7396454721647772,0.6710352
182,0.9802360534667969,0.9608627205161611,0.49011802673339844,0.0
183,0.6151161193847656,0.5157618231597241,0.37004266673892566,0.06240621
184,0.9225692749023438,0.866854880558094,0.4612846374511719,-0.033379566
185,0.8000144958496094,0.6914872184681201,0.6255082948866248,0.5624074
186,0.8201141357421875,0.769963842751306,0.5074804333410816,0.31588274
187,0.8166007995605469,0.6706485389542575,0.5197854127727278,0.4191946
188,0.7744941711425781,0.7089447431866259,0.44604796590855145,0.123915315
189,0.6473846435546875,0.4793533184727178,0.46432573104979663,0.2618569
190,0.7674827575683594,0.6614722313879362,0.4463654302653076,0.09920095
191,0.24120712280273438,0.13640358279765413,0.13714231328928939,-0.01777499
192,0.5746421813964844,0.4790561487898938,0.35113616537295456,0.10102646
193,0.6920089721679688,0.5663050905321969,0.5060180631139042,0.4654646
194,0.8475379943847656,0.7999856790706658,0.5279147470230295,0.32905844
195,0.9308204650878906,0.8905286635388363,0.6444001902593082,0.4964034
196,0.9444160461425781,0.8993113538796029,0.8678533857545352,0.8648208
197,0.8244171142578125,0.7376901597599499,0.41220855712890625,-0.09434708
198,0.6849212646484375,0.6747131829033606,0.34246063232421875,-0.080557264
199,0.6856460571289062,0.6572111398396256,0.3488266062958379,-0.08071255
200,0.9699058532714844,0.9561718348413706,0.4849529266357422,-0.015250391
201,0.9715118408203125,0.9524757945557056,0.5506996810560228,0.22165006
202,0.9286918640136719,0.9182728470914299,0.46434593200683594,-0.026932834
203,0.9035682678222656,0.8726731422831678,0.5915196005430206,0.47300494
204,0.9227104187011719,0.8727021066270231,0.5563368155171079,0.28616124
205,0.8475074768066406,0.7613161687920953,0.6358789297610236,0.5320585
206,0.9041671752929688,0.8419164837093547,0.7229347302982847,0.6645741
207,0.6984786987304688,0.5334017022227983,0.5363965417827627,0.53527063
208,0.9363212585449219,0.9038831817950758,0.7199350793554862,0.68735266
209,0.8365936279296875,0.8064722158014161,0.44139426680761423,0.044508416
210,0.7803497314453125,0.7045021362599047,0.3930570833285427,-0.11049424
211,0.9136276245117188,0.8376194040368746,0.7254998657441021,0.6913193
212,0.8796958923339844,0.8543615170153073,0.4518850115781267,0.003544678
213,0.8992233276367188,0.8599969721972041,0.633561369717726,0.5665828
214,0.9840087890625,0.9685433081851987,0.6705588785950232,0.58369654
215,0.9835548400878906,0.9675397590923105,0.6327133115513555,0.5199212
216,0.8457756042480469,0.7525974214222888,0.7012332485084773,0.6944835
217,0.9102363586425781,0.8355871347991028,0.7614275502311237,0.72531766
218,0.862701416015625,0.7888803380615258,0.6671439616086181,0.6112123
219,0.8423423767089844,0.7833385955715914,0.5561090389505686,0.3974041
220,0.8784713745117188,0.7874311344310975,0.763757925621201,0.73020136
221,0.7817192077636719,0.6533132637531177,0.6067483882612077,0.4994473
222,0.8042106628417969,0.6647365447285691,0.6282760728634886,0.5638361
223,0.8178558349609375,0.6883283372724631,0.6884517990499575,0.65761715
224,0.9578170776367188,0.9193888979945386,0.9182421994479473,0.91749984
225,0.8175735473632812,0.7192141968206582,0.6456156693885702,0.6080972
226,0.938262939453125,0.8951879591852584,0.8042865811578963,0.78849214
227,0.8002090454101562,0.6674769176178026,0.6571992858843809,0.58438694
228,0.8564338684082031,0.7483376902901837,0.6541967588528828,0.57387495
229,0.8909339904785156,0.8166733309938735,0.6465354301784895,0.5215081
230,0.7027511596679688,0.49453319711157007,0.35946978583127376,0.106437616
231,0.5152587890625,0.35653719173570897,0.34638863685848986,0.28570843
232,0.397857666015625,0.2673270189239752,0.24694193575238524,0.15845117
233,0.8134498596191406,0.6858949364558669,0.6791164790837739,0.61666334
234,0.8668365478515625,0.8411058884003004,0.4573741615626984,0.059931006
235,0.7019081115722656,0.5452687945524878,0.5399016880809884,0.47456983
236,0.6396369934082031,0.4777837888947538,0.46095679271500606,0.2604696
237,0.6086044311523438,0.4520605862732857,0.4348092993262864,0.38882908
238,0.5784759521484375,0.40479295515331987,0.4068904813209979,0.3739823
