,level_0,index,upa,upa_1,rivlength,relief,aelev_mean,aelev_min,aelev_max,bio12_mean,bio12_min,bio12_max,ndvi_mean,ndvi_min,ndvi_max,bio01_mean,bio01_min,bio01_max,SUB_AREA,COAST,PFAF_ID,DIST_MAIN,HYBAS_ID,DIST_SINK,NEXT_DOWN,ORDER,ENDO,MAIN_BAS,NEXT_SINK,SORT,UP_AREA,long,lat,geometry,elev_mean,elev_min,elev_max,MAT_C,DD,in_LGM,in_MIS6,glaciated,NUM_CODE,COMBO,RELICT,EXTENT,CONTENT,LANDFORM,bin_map,bin_relief,bin_map_2,bin_relief_2
31581,31.0,,96107,11688,1.1293909318051,35.0553982257843,10.878053160113216,2.319792509078979,37.37519073486328,142.82082896521948,139.5,147.0,7012.055975553467,5312,7934,-141.89975564257517,-143.5,-141.0,255.4,0,3513612003,129.7,3100061600,129.7,3100064350,2,0,3100010150,3100010150,67596,255.4,144.57634717074365,71.97776190410893,POINT (165821.50034788135 1161163.246700828),,,,-14.189975564257518,0.12161445056031299,,,Not glaciated,1,Chf,,Continuous,h,,3,0,0,0
31402,46.0,,72804,7910,0.7779970848061,251.1705600619316,29.793902672760353,0.384829342365265,251.55538940429688,117.12559908543297,115.0,131.0,6330.728295674919,4875,6877,-148.4696115288221,-157.25,-146.0,180.6,0,3520010904,0.0,3100022630,0.0,0,1,0,3100022630,3100022630,84396,180.6,143.1679897541174,73.31209374617333,POINT (285002.12424220913 1266084.851578038),,,,-14.84696115288221,0.10864787649030273,,,Not glaciated,1,Chf,,Continuous,h,,2,3,0,1
3206,3.0,,44062,5612,0.332225077160888,434.8022232055664,225.13071433986553,98.0277328491211,532.8299560546875,141.2449414270501,138.0,144.0,6896.432374866884,5913,7640,-122.9776357827477,-132.25,-120.25,131.5,0,8139098040,39.3,8100087110,39.3,8100086530,2,0,8100008870,8100008870,12160,131.5,-143.4231057908515,69.64410894658533,POINT (2261498.789801117 -268078.5709823463),,,,-12.29776357827477,0.12736598429485724,,,Not glaciated,5,Cmf,,Continuous,m,f,3,6,0,2
3522,0.0,,39467,4130,0.477368927038423,758.1318359375,217.03746809519396,7.75836181640625,765.8901977539062,148.71990346858635,146.0,153.0,6373.36855366492,3255,7456,-121.8441508507854,-140.75,-115.0,118.7,0,8210030402,5.0,8100089090,5.0,8100009030,2,0,8100009030,8100009030,12232,118.7,-140.98514029875187,69.49672773417676,POINT (2360384.771322715 -271566.79366754275),,,,-12.184415085078541,0.10464438644943877,,,Not glaciated,17,Clr,,Continuous,l,r,3,12,0,3
2981,1.0,,48186,5626,0.462785594038588,1022.5546646118164,421.7475922409701,126.5121078491211,1149.0667724609375,140.434026647129,139.0,143.5,6189.4173179203335,2394,7507,-127.27138961250407,-153.5,-116.5,143.3,0,8139093063,17.5,8100086500,17.5,8100008730,1,0,8100008730,8100008730,12117,143.3,-144.9141886541732,69.73183451128321,POINT (2201501.7308771876 -264114.84682156006),,,,-12.727138961250407,0.11675590420454074,,,Not glaciated,17,Clr,,Continuous,l,r,3,16,0,4
2917,51.0,,32475,4304,0.37862524003797,78.16340637207031,216.36697544153515,191.5626678466797,269.72607421875,236.63873908353915,230.0,242.0,6920.707873769183,6455,8017,-61.64082669357366,-64.75,-61.0,109.7,0,8125060440,1584.8,8100134960,1584.8,8100137740,4,0,8100005510,8100005510,5862,109.7,-147.00813039261323,66.84331341586876,POINT (2135971.5922540813 -601555.944886466),,,,-6.1640826693573665,0.13253271747498074,,,Not glaciated,10,Dlf,,Discontinuous,l,f,5,1,1,0
2676,48.0,,65785,7370,1.023263587272039,234.0816650390625,265.62159111244586,179.53155517578125,413.61322021484375,263.31397416295897,249.0,271.0,7073.305990276754,5869,8018,-62.3547095909708,-67.75,-59.0,222.1,0,8125060802,1583.3,8100136640,1583.3,8100136540,4,0,8100005510,8100005510,5857,222.1,-147.80071385449014,66.8215941857339,POINT (2100068.1819515466 -605694.7319009919),,,,-6.23547095909708,0.1120316181500342,,,Not glaciated,5,Cmf,,Continuous,m,f,6,3,1,1
250,1.0,,122850,12774,1.3531600197913,482.44773864746094,273.18836885627337,131.7105255126953,614.1582641601562,296.8868959403556,283.0,319.5,6010.256653179979,3502,7422,-80.84339000772835,-95.0,-73.25,418.9,0,3530128903,128.0,8100144740,128.0,8100145390,1,0,8100021340,8100021340,33987,418.9,-171.97015614026347,66.60272421967869,POINT (1014967.4953839089 -441701.94042797247),,,,-8.084339000772834,0.10398046398046398,,True,MIS6,17,Clr,,Continuous,l,r,7,7,1,2
3906,33.0,,74070,6920,0.824448049705459,707.65185546875,906.5633871666519,645.2493896484375,1352.9012451171875,244.5593189322837,238.25,249.25,6385.023114335445,3560,7870,-119.25470907819185,-138.75,-110.5,236.6,0,8126078950,2255.8,8100109240,2255.8,8100111200,3,0,8100005510,8100005510,7707,236.6,-137.28146629600866,68.14233306473386,POINT (2540584.659349352 -395150.52347041154),,,,-11.925470907819186,0.09342513838261104,,,Not glaciated,17,Clr,,Continuous,l,r,5,11,1,3
67409,,,23256,2391,,1219.0,,,,157.18071012188656,139.0,202.0,6324.486879035899,1540,8054,-23.683134114506654,-54.0,-1.0,134.2,0,3129980235,5361.8,3100992060,5361.8,3100992240,3,0,3100001840,3100001840,17980,134.2,89.43215657287654,47.702726282632405,POINT (-2230194.590617736 4498526.6612401735),2380.826159492826,1786.0,3005.0,-2.3683134114506657,0.10281217750257998,,True,MIS6,19,Slr,,Sporadic,l,r,3,19,1,4
16126,11.0,,101957,11239,1.09753817773002,72.124755859375,23.164077776304723,8.333839416503906,80.4585952758789,380.45182179450353,372.0,399.75,7147.654168017382,5455,8089,-61.308684645216886,-68.0,-60.0,322.1,0,2619063203,53.9,2100122510,53.9,2100121840,2,0,2100044320,2100044320,55499,322.1,61.10927518214234,68.40648955656964,POINT (747053.6938242486 4076272.8183282735),,,,-6.130868464521689,0.1102327451768883,,True,MIS6,1,Chf,,Continuous,h,,9,1,2,0
72572,,,36189,3848,,214.0,,,,398.9554026985145,384.0,415.0,8879.916411554985,8115,9252,-17.712939516484624,-24.0,-11.0,178.9,0,3227425180,3284.0,3100579640,3284.0,3100576570,4,0,3100004740,3100004740,33572,178.9,101.12461679571314,54.84794157322583,POINT (-1808533.1040376066 3302124.4756565574),542.9310253599909,432.0,646.0,-1.7712939516484625,0.10633065296084446,,,Not glaciated,20,Ilr,,Isolated,l,r,9,3,2,1
70900,,,48733,5010,,448.0,,,,446.90587355031795,408.0,474.0,8868.999869003397,8078,9489,-25.422951739618405,-34.0,-12.0,237.5,0,3227248120,2654.5,3100562920,2654.5,3100561430,5,0,3100004740,3100004740,30902,237.5,97.38613756882035,55.41194011468139,POINT (-1652238.8272880516 3521317.148217792),596.1028993640106,322.0,770.0,-2.5422951739618407,0.10280508074610634,,,Not glaciated,20,Ilr,,Isolated,l,r,10,7,2,2
32526,60.0,,39102,4068,0.374841419336,726.226806640625,861.4590273245527,663.61767578125,1389.844482421875,411.0277025666273,393.5,460.75,6838.380406811517,5628,7554,-103.7764606502719,-127.5,-91.0,162.8,0,3518978920,1968.9,3100392580,1968.9,3100390090,3,0,3100010910,3100010910,75673,162.8,149.00999075159046,61.00959168635741,POINT (-874005.9975856473 406257.2725075304),,,,-10.377646065027191,0.10403559920208685,,True,MIS6,13,Chr,,Continuous,h,r,9,11,2,3
33233,94.0,,44255,5416,0.604008085336,829.5303344726562,496.8096094062555,279.35845947265625,1108.8887939453125,325.5110658124634,304.5,372.0,7390.678271748743,3736,8477,-121.7884607088159,-151.0,-107.75,171.9,0,3518946032,1408.1,3100317820,1408.1,3100316570,4,0,3100010910,3100010910,74796,171.9,153.4475844449642,63.0819182026457,POINT (-538664.3238091553 323032.58990249573),,,,-12.17884607088159,0.1223816517907581,,,Not glaciated,17,Clr,,Continuous,l,r,7,13,2,4
15278,,,29053,3702,,31.0,,,,474.27985057056287,472.0,479.0,6905.665925992292,2899,7535,-62.47131488486711,-64.0,-61.0,132.7,0,7116002953,256.3,7100893970,256.3,7100894020,2,0,7100021690,7100021690,22634,132.7,-96.94258913084217,57.840368871297095,POINT (4927999.722608185 -201809.65158777917),283.1865042615642,268.0,299.0,-6.247131488486712,0.127422297181014,True,True,LGM,18,Dlr,,Discontinuous,l,r,11,0,3,0
22082,159.0,,29707,3175,0.3832360808627,336.0408477783203,279.9180341681296,103.33576965332031,439.3766174316406,529.7422690175281,500.75,554.5,7890.439340197664,7031,9038,-85.14589861909846,-94.0,-75.75,109.0,0,3222163120,1201.9,3100251910,1201.9,3100815000,4,0,3100004740,3100004740,23635,109.0,93.95819014477024,64.6740737858849,POINT (-566602.8241109545 3254135.0968794953),,,,-8.514589861909846,0.10687716699767731,,True,MIS6,17,Clr,,Continuous,l,r,12,5,3,1
86916,,,18836,2513,,453.0,,,,508.2924962457008,496.0,548.0,8700.749697233927,8060,9152,-10.590829821246912,-29.0,-4.0,105.4,0,4224963802,2803.6,4100153290,2803.6,4100153740,5,0,4100000880,4100000880,9947,105.4,123.47967193551295,49.294633284728306,POINT (-2703095.398482197 1714021.18742209),456.6228988034685,342.0,795.0,-1.0590829821246912,0.13341473773624973,,,Not glaciated,20,Ilr,,Isolated,l,r,12,7,3,2
84145,,,31580,3689,,610.0,,,,451.7583460772715,429.0,511.0,7997.726404478166,5875,8593,-78.35784978503612,-100.0,-70.0,159.5,0,3426909403,3697.3,3100945480,3697.3,3100943880,3,0,3100009130,3100009130,62870,159.5,118.33306624002493,53.97908328942608,POINT (-2129255.0549927824 2120168.316412218),1075.187610006636,895.0,1505.0,-7.835784978503613,0.11681443951868271,,,Not glaciated,17,Clr,,Continuous,l,r,10,9,3,3
866,,,29120,3719,,838.0,,,,560.8081672901437,545.0,590.0,6772.700673724738,2443,8773,-24.136909327114218,-47.0,-11.0,131.1,0,7839048233,229.9,7100891920,229.9,7100891570,3,0,7100020500,7100020500,21919,131.1,-131.6393137811167,58.384408451998546,POINT (3133471.446767292 -1415162.9255874925),1415.292569925966,1094.0,1932.0,-2.4136909327114218,0.12771291208791208,True,True,LGM,19,Slr,,Sporadic,l,r,13,13,3,4
28800,,,28160,3473,,124.0,,,,811.761564394308,798.0,835.0,6533.416597425941,4814,7760,-41.85427404453952,-45.0,-40.0,144.5,0,7218094093,652.0,7100193630,652.0,7100192290,2,0,7100025560,7100025560,39276,144.5,-71.40432662753524,53.26863902897398,POINT (6134792.703720363 1165954.6122015761),529.4801128075463,488.0,612.0,-4.185427404453953,0.12333096590909091,True,True,LGM,20,Ilr,,Isolated,l,r,19,1,4,0
89967,,,36700,3170,,348.0,,,,607.383186620812,586.0,642.0,8297.98865202439,7606,8832,-72.10737121785884,-85.0,-65.0,183.5,0,4226840980,2963.2,4100086590,2963.2,4100086450,5,0,4100000880,4100000880,10816,183.5,131.07829001296588,54.40288295959187,POINT (-2003211.432870306 1216176.271065108),629.2009237301818,502.0,850.0,-7.210737121785884,0.08637602179836512,,,Not glaciated,6,Dmf,,Discontinuous,m,f,14,5,4,1
93730,,,28062,3551,,414.0,,,,610.7226269064417,569.0,675.0,8386.547413092252,7376,9064,-9.934701310526481,-28.0,-5.0,147.2,0,4110015922,15.6,4100107090,15.6,4100035210,2,0,4100035210,4100035210,95944,147.2,142.0710011939007,52.320075782422784,POINT (-2017206.3923314526 371149.6008544455),119.40362915027151,20.0,434.0,-0.9934701310526481,0.1265412301332763,,,Not glaciated,12,Ilf,,Isolated,l,f,14,6,4,2
89364,,,28117,3034,,673.0,,,,675.1536591295896,633.0,737.0,9282.568554988255,9041,9504,-9.961682470216388,-31.0,6.0,161.8,0,4224140903,1499.8,4101205270,1499.8,4101206190,3,0,4100000880,4100000880,3503,161.8,129.762644861497,47.92545713089767,POINT (-2813951.4956929404 1171718.0230166838),571.9036550773969,322.0,995.0,-0.9961682470216389,0.10790624888857275,,,Not glaciated,20,Ilr,,Isolated,l,r,16,10,4,3
94667,,,40237,5990,,1783.0,,,,949.6071205921351,887.0,1310.0,7997.7084060351,2365,9388,-2.631071262595921,-79.0,18.0,215.0,0,3542900972,0.0,3100015870,0.0,0,1,0,3100015870,3100015870,80462,215.0,157.33982447195123,51.501579916344284,POINT (-1526983.448502534 -690717.6003795196),342.12684900762844,8.0,1791.0,-0.2631071262595921,0.14886795735268535,,True,MIS6,19,Slr,,Sporadic,l,r,19,19,4,4
